CODIGO_DEL_PRODUCTO,VENTA,VENTA_ZONA_101,VENTA_ZONA_102,VENTA_ZONA_103,VENTA_ZONA_104,VENTA_ZONA_107,VENTA_ZONA_109,VENTA_ZONA_110,VENTA_ZONA_111,VENTA_ZONA_112,VENTA_ZONA_115,VENTA_ZONA_116,VENTA_ZONA_119,TALLA,NOMB_SUBGRUPO,CAMPANA,CAMPANA_CAT_Cuarto_trimestre,CAMPANA_CAT_Primer_trimestre,CAMPANA_CAT_Segundo_trimestre,CAMPANA_CAT_Tercer_trimestre,ROPA_CAT_Conjuntos y otros,ROPA_CAT_Ropa_inferior,ROPA_CAT_Ropa_superior,TALLA_CAT_Grande,TALLA_CAT_Mediana,TALLA_CAT_Pequeña
P02900,7892.0,489,140,210,140,210.0,279,70,70,210,140.0,70,210,T-8,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02839,8022.0,406,254,203,254,51.0,305,102,102,51,102.0,152,152,T-10,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
P02812,8255.0,254,191,318,64,127.0,191,127,127,254,0.0,254,191,T-12,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02661,8398.0,114,171,114,171,57.0,57,114,0,57,286.0,57,229,T-L,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02932,8611.0,152,229,76,152,76.0,152,381,152,0,76.0,229,229,T-L,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02562,8912.0,400,114,114,0,343.0,114,114,171,57,171.0,457,57,T-8,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02829,8940.0,349,210,279,70,279.0,279,210,140,70,140.0,70,381,T-L,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02727,8940.0,279,140,70,70,0.0,70,70,70,0,279.0,279,0,T-XL,204 RE-BUZOS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02642,9021.0,305,305,114,76,152.0,114,76,114,76,76.0,152,190,T-S,223 RE-SHORTS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02702,9088.0,254,102,102,152,508.0,254,152,203,254,254.0,203,51,T-M,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02903,9149.0,210,140,70,140,70.0,279,0,70,140,210.0,210,70,T-XS,207 RE-CAMISETAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02667,9325.0,495,152,305,152,343.0,228,190,38,228,152.0,305,152,T-M,211 RE-CHAQUETAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02573,9462.0,191,508,191,127,64.0,191,191,191,64,127.0,191,64,T-XL,211 RE-CHAQUETAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02914,9525.0,127,318,254,64,191.0,191,127,318,318,64.0,127,381,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02763,9545.0,406,254,51,0,203.0,203,102,51,152,152.0,305,203,T-XS,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02859,9575.0,330,165,248,165,0.0,248,0,330,165,0.0,83,330,T-S,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02843,9645.0,285,143,285,57,86.0,86,171,285,228,86.0,29,143,T-14,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02795,9647.0,457,406,152,102,203.0,305,305,203,305,305.0,572,254,T-S,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02568,9935.0,495,305,381,114,152.0,114,114,114,190,76.0,190,343,T-S,207 RE-CAMISETAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02870,9951.0,508,457,305,152,609.0,534,355,102,355,203.0,203,355,T-S,215 RE-FALDAS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02537,9973.0,495,228,190,114,152.0,190,38,76,76,76.0,152,152,T-M,215 RE-FALDAS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02883,10104.0,305,152,152,51,457.0,203,152,305,152,355.0,508,203,T-XS,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02705,10581.0,305,305,266,152,0.0,76,152,406,152,114.0,152,114,T-L,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02942,10592.0,305,76,381,0,0.0,152,305,0,229,152.0,0,0,T-XL,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02648,10616.0,279,419,279,0,210.0,0,70,210,349,70.0,210,140,T-S,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02664,10668.0,305,305,381,229,229.0,76,152,76,0,152.0,152,229,T-6,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02684,10896.0,210,70,140,140,210.0,210,140,210,0,140.0,419,279,T-M,202 RE-BODYS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02598,10963.0,343,152,76,152,38.0,114,152,152,152,38.0,152,114,T-S,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02864,11036.0,559,210,70,140,70.0,0,140,140,279,140.0,140,140,T-L,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02765,11049.0,254,445,445,127,127.0,127,191,191,254,191.0,381,127,T-XL,213 RE-CONJUNTOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
P02507,11305.0,343,419,343,114,343.0,228,114,76,114,152.0,305,228,T-8,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02529,11684.0,254,254,508,64,191.0,318,64,254,254,191.0,318,64,T-S,215 RE-FALDAS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02557,12795.0,660,152,571,203,711.0,508,305,406,203,418.0400000000009,457,355,T-8,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02559,13100.0,826,457,559,102,406.0,51,152,102,254,305.0,508,102,T-M,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02694,13201.0,210,629,349,70,279.0,210,210,406,140,210.0,349,210,T-XL,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02706,13202.0,457,629,571,318,305.0,305,355,152,254,102.0,355,254,T-M,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02456,13640.0,305,629,305,152,76.0,152,413,305,76,76.0,305,229,T-XS,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02654,14936.0,229,152,229,305,457.0,381,413,152,406,76.0,381,229,T-L,201 RE-BLUSAS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02655,15177.0,572,127,445,0,445.0,534,127,191,254,254.0,572,381,T-L,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02509,15588.0,609,629,571,318,355.0,457,355,254,406,203.0,572,152,T-XS,204 RE-BUZOS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02814,15875.0,826,508,445,318,381.0,254,413,191,191,381.0,445,64,T-M,204 RE-BUZOS FEM,201906,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02656,15911.0,495,533,266,76,76.0,266,190,190,190,0.0,533,190,T-10,217 RE-JOGGERS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02899,16066.0,826,572,445,191,254.0,508,413,318,381,254.0,445,254,T-S,225 RE-VESTIDOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02835,16821.96000000001,826,559,571,203,559.0,305,355,152,355,418.0400000000009,572,203,T-14,219 RE-OVEROLES FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
P02716,16821.96000000001,762,629,381,318,381.0,191,318,191,406,254.0,572,254,T-M,214 RE-ENTERIZOS FEM,201906,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02717,16821.96000000001,762,381,533,152,610.0,381,229,152,229,229.0,305,152,T-10,216 RE-JEANS FEM,201906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P01916,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XS,225 RE-VESTIDOS FEM,201905,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02240,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-S,202 RE-BODYS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02341,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-S,225 RE-VESTIDOS FEM,201905,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P01901,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,201 RE-BLUSAS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02336,51.0,44,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,201 RE-BLUSAS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02333,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,217 RE-JOGGERS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P01987,51.0,0,0,0,0,0.0,0,0,0,0,51.0,0,0,T-L,206 RE-CAMISAS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02076,51.0,0,0,0,0,0.0,51,0,0,0,0.0,0,0,T-XS,211 RE-CHAQUETAS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P01945,51.0,0,0,0,0,0.0,0,51,0,0,0.0,0,0,T-XS,215 RE-FALDAS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
P02073,51.0,0,0,51,0,0.0,0,0,0,0,0.0,0,0,T-14,216 RE-JEANS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02392,51.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-14,223 RE-SHORTS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P01995,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-XL,204 RE-BUZOS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
P02094,64.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-L,214 RE-ENTERIZOS FEM,201905,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02072,70.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-M,206 RE-CAMISAS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02101,76.0,0,76,0,0,0.0,0,0,0,0,0.0,0,0,T-M,204 RE-BUZOS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02144,86.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-10,216 RE-JEANS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02163,152.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,T-14,216 RE-JEANS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P01964,165.0,0,0,0,0,0.0,0,0,0,0,83.0,0,0,T-10,220 RE-PANTALONES FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02250,228.0,0,0,0,0,0.0,0,0,25,0,25.0,0,0,T-M,225 RE-VESTIDOS FEM,201905,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
P02379,285.0,0,0,0,0,0.0,0,0,0,0,32.0,0,0,T-XS,202 RE-BODYS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
P02232,286.0,0,0,0,57,0.0,0,0,0,0,0.0,57,0,T-10,217 RE-JOGGERS FEM,201905,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
P02011,338.0,0,0,0,0,0.0,34,0,34,0,101.0,0,0,T-M,202 RE-BODYS FEM,201905,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
